data/compact1.txt https://www.compact-online.de/wow-chinesische-soldatinnen-die-schaerfste-waffe-gegen-uncle-sam/ 2018-01-25 |['Jürgen Elsässer'] | Internationale Politik |radically right| None
data/compact1118.txt https://www.compact-online.de/gutachter-erklaeren-negativ-studie-ueber-ostdeutschland-fuer-voellig-wertlos/ 2017-05-22 |['Katja Wolters'] | Innenpolitik |radically right| None
data/compact1119.txt https://www.compact-online.de/china-soll-komplette-cia-operation-zerlegt-haben/ 2017-05-22 |['Tino Perlick'] | Internationale Politik |radically right| None
data/compact1120.txt https://www.compact-online.de/estbalishment-parteien-kollektives-afd-bashing-im-tv/ 2017-05-21 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1121.txt https://www.compact-online.de/unsere-helden-_-ulrich-von-hutten/ 2017-05-21 |['COMPACT-Shop'] | Kultur |radically right| None
data/compact1122.txt https://www.compact-online.de/macrons-gruselige-ministerriege-rassisten-globale-ausbeuter-totsparer-und-kriegsgewinnler/ 2017-05-21 |['Paula Varga'] | Internationale Politik |radically right| None
data/compact1123.txt https://www.compact-online.de/klagen-gegen-hartz-iv-willkuer-haben-zu-40-prozent-erfolg/ 2017-05-20 |['Kristin von Appen'] | Innenpolitik |radically right| None
data/compact1124.txt https://www.compact-online.de/wahlumfrage-mutti-ist-wieder-die-beste/ 2017-05-20 |['V. Berger'] | Innenpolitik |radically right| None
data/compact1125.txt https://www.compact-online.de/alien-covenant-wenn-androiden-den-perfekten-organismus-traeumen/ 2017-05-19 |['Kristin von Appen'] | Kultur |radically right| None
data/compact1126.txt https://www.compact-online.de/identitaere-protestieren-vor-dem-bundesjustizministerium-gegen-maas/ 2017-05-19 |['COMPACT'] | Innenpolitik |radically right| None
data/compact1127.txt https://www.compact-online.de/nur-noch-6-tage-jetzt-compact-abonnieren-und-10-euro-sparen/ 2017-05-19 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact1128.txt https://www.compact-online.de/rechtsstaat-darf-aufatmen-bundestag-stoppt-maas/ 2017-05-19 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1129.txt https://www.compact-online.de/wirtschaft-china-ueberholt-die-usa-frueher-als-gedacht/ 2017-05-18 |['Dr. Hartmut Grebe'] | Innenpolitik |radically right| None
data/compact1130.txt https://www.compact-online.de/attentat-breitscheidplatz-vertuschungen-der-polizei-im-fall-anis-amri/ 2017-05-18 |['V. Berger'] | Innenpolitik |radically right| None
data/compact1131.txt https://www.compact-online.de/eingeschleuste-barbarei-somalier-unter-kannibalismusverdacht/ 2017-05-18 |['Max Z. Kowalsky'] | Innenpolitik |radically right| None
data/compact1132.txt https://www.compact-online.de/polen-verweigert-fluechtlingsquote-trotz-eu-drohungen/ 2017-05-18 |['Paula Varga'] | Allgemein |radically right| None
data/compact1133.txt https://www.compact-online.de/flensburg-hat-jetzt-endlich-homo-ampeln/ 2017-05-17 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1134.txt https://www.compact-online.de/roh-martialisch-unzaehmbar-dynamo-dresdens-football-army-schockt-die-republik/ 2017-05-17 |['Marc Dassen'] | Innenpolitik |radically right| None
data/compact1135.txt https://www.compact-online.de/eu-propagandafilm-mit-dem-fliegenden-teppich-nach-europa/ 2017-05-17 |['Max Z. Kowalsky'] | Internationale Politik |radically right| None
data/compact1136.txt https://www.compact-online.de/aydan-oezoguz-spd-es-gibt-keine-deutsche-kultur-also-auch-keine-leitkultur/ 2017-05-17 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1137.txt https://www.compact-online.de/uschis-maerchen-von-der-bundeswehr-terrorzelle-geplatzt/ 2017-05-17 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1138.txt https://www.compact-online.de/germany-der-51-us-bundesstaat-offener-brief-von-rolf-hochhuth-an-die-bundeskanzlerin/ 2017-05-17 |['Gast Autor'] | Internationale Politik |radically right| None
data/compact1139.txt https://www.compact-online.de/multikulti-diktatur-stellt-15-thesen-des-zusammenlebens-vor/ 2017-05-16 |['Katja Wolters'] | Innenpolitik |radically right| None
data/compact1140.txt https://www.compact-online.de/netzwerkdurchsetzungsgesetz-wollt-ihr-den-totalen-maas/ 2017-05-16 |['Jürgen Elsässer'] | Allgemein |radically right| None
data/compact1141.txt https://www.compact-online.de/endloesung-fuer-die-meinungsfreiheit-netzwerkdurchsuchungsgesetz-tritt-freitag-in-kraft/ 2017-05-16 |['COMPACT'] | Innenpolitik |radically right| None
data/compact1142.txt https://www.compact-online.de/eu-gerichtshof-freihandelsabkommen-muessen-von-allen-mitgliedsstaaten-gebilligt-werden/ 2017-05-16 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1143.txt https://www.compact-online.de/meine-tochter-liebt-einen-terroristen/ 2017-05-16 |['Marc Dassen'] | Allgemein |radically right| None
data/compact1144.txt https://www.compact-online.de/praesident-trump-werfen-sie-den-plan-zur-kriegseskalation-ihrer-generaele-in-die-tonne/ 2017-05-15 |['Ron Paul'] | Allgemein |radically right| None
data/compact1145.txt https://www.compact-online.de/kollateralschaden-nsa-und-cia-haben-ramsonware-attacke-ermoeglicht/ 2017-05-15 |['Tino Perlick'] | Allgemein |radically right| None
data/compact1146.txt https://www.compact-online.de/mutti-aus-muehlheim-anlaesslich-der-nrw-wahl-eine-leseprobe-aus-compact-52017/ 2017-05-14 |['Martin Müller-Mertens'] | Innenpolitik |radically right| None
data/compact1147.txt https://www.compact-online.de/landtagswahl-nrw-als-seismograph-fuer-die-bundestagswahl-2017/ 2017-05-14 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1148.txt https://www.compact-online.de/heute-20-uhr-juergen-elsaessers-live-kommentar-zur-nrw-wahl/ 2017-05-14 |['COMPACT-TV'] | Innenpolitik |radically right| None
data/compact1149.txt https://www.compact-online.de/identitaere-blockieren-ngo-schiff-im-mittelmeer/ 2017-05-13 |['COMPACT'] | Innenpolitik |radically right| None
data/compact1150.txt https://www.compact-online.de/zensurterror-linksradikale-verhindern-debatte-in-berlin-neukoelln-durch-drohung/ 2017-05-13 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1151.txt https://www.compact-online.de/amerika-in-aufruhr/ 2017-05-13 |['Dr. Hartmut Grebe'] | Internationale Politik |radically right| None
data/compact1152.txt https://www.compact-online.de/dpa-verbreitet-rufmord-an-afd-politiker-luegenpresse-spielt-mit/ 2017-05-12 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1153.txt https://www.compact-online.de/brd-wahnsinn-notfallpersonal-schult-sich-fuer-terroreinsaetze/ 2017-05-12 |['Katja Wolters'] | Allgemein |radically right| None
data/compact1154.txt https://www.compact-online.de/merkel-macron-reformfreudige-eu-laender-belohnen/ 2017-05-12 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1155.txt https://www.compact-online.de/trotz-pretzell-am-sonntag-afd-waehlen/ 2017-05-12 |['Jürgen Elsässer'] | Allgemein |radically right| None
data/compact1156.txt https://www.compact-online.de/compact-geschichte-1000-jahre-deutsches-reich-jetzt-vorbestellbar/ 2017-05-12 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact1157.txt https://www.compact-online.de/urlaub-mit-koepfchen-politisches-trekking-in-ukrainischen-karpaten/ 2017-05-12 |['COMPACT'] | Allgemein |radically right| None
data/compact1158.txt https://www.compact-online.de/wer-wird-uns-verraten-martin-schulz-will-deutschlands-macron-werden/ 2017-05-11 |['Kristin von Appen'] | Innenpolitik |radically right| None
data/compact1159.txt https://www.compact-online.de/merkel-besichtigt-zuwanderer-gut-ding-will-weile-haben/ 2017-05-11 |['Tino Perlick'] | Innenpolitik |radically right| None
data/compact1160.txt https://www.compact-online.de/in-eigener-sache-kommentare-loeschungen-und-trolle/ 2017-05-11 |['COMPACT'] | Kultur |radically right| None
data/compact1161.txt https://www.compact-online.de/irre-petry-clique-macht-cdu-koalitionsangebot/ 2017-05-11 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1162.txt https://www.compact-online.de/real-moms-seifenwerbespot-zeigt-transgender-mutter/ 2017-05-11 |['Katja Wolters'] | Kultur |radically right| None
data/compact1163.txt https://www.compact-online.de/radikale-islamisten-begruessen-van-der-bellens-kopftuch-solidaritaet/ 2017-05-10 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1164.txt https://www.compact-online.de/wehrmachtsaffine-brd-soldaten-brauchen-nachhilfe-in-staatsbuergerkunde/ 2017-05-10 |['Max Z. Kowalsky'] | Innenpolitik |radically right| None
data/compact1165.txt https://www.compact-online.de/hamburger-rechtsmediziner-wir-wollen-den-dna-code-aller-buerger/ 2017-05-10 |['V. Berger'] | Innenpolitik |radically right| None
data/compact1166.txt https://www.compact-online.de/guido-reil-die-stimme-des-potts-bei-compact-live/ 2017-05-10 |['COMPACT'] | Innenpolitik |radically right| None
data/compact1167.txt https://www.compact-online.de/video-compact-auf-der-leipziger-buchmesse-2017/ 2017-05-10 |['COMPACT-TV'] | Innenpolitik |radically right| None
data/compact1168.txt https://www.compact-online.de/das-amerikanische-europa/ 2017-05-09 |['Gast Autor'] | Allgemein |radically right| None
data/compact1169.txt https://www.compact-online.de/dankeschoen/ 2017-05-09 |['COMPACT'] | Allgemein |radically right| None
data/compact1170.txt https://www.compact-online.de/berichte-ueber-beschaedigte-stimmzettel-fuer-le-pen/ 2017-05-09 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact1171.txt https://www.compact-online.de/filmkritik-get-out/ 2017-05-08 |['Tino Perlick'] | Kultur |radically right| None
data/compact1172.txt https://www.compact-online.de/compact-leserumfrage-teilnehmen-und-attraktive-praemie-erhalten/ 2017-05-08 |['COMPACT'] | Allgemein |radically right| None
data/compact1173.txt https://www.compact-online.de/nach-frankreich-wahl-banker-feiern-arbeiter-zittern/ 2017-05-08 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1174.txt https://www.compact-online.de/bundesbank-bestaetigt-wir-schaffen-buchgeld-aus-dem-nichts/ 2017-05-08 |['Katja Wolters'] | Innenpolitik |radically right| None
data/compact1175.txt https://www.compact-online.de/wahlergebnisse-frankreich-macron-liegt-vorne-schleswig-hollstein-cdu-gewinnt/ 2017-05-07 |['COMPACT'] | Innenpolitik |radically right| None
data/compact1176.txt https://www.compact-online.de/stephen-hawking-in-100-jahren-ist-die-erde-unbewohnbar-was-folgt-daraus/ 2017-05-07 |['Paula Varga'] | Innenpolitik |radically right| None
data/compact1177.txt https://www.compact-online.de/heute-2015-uhr-elsaesser-live-kommentar-zu-den-wahlen-in-frankreich-und-schleswig-holstein/ 2017-05-07 |['COMPACT-TV'] | Highlights |radically right| None
data/compact1178.txt https://www.compact-online.de/konformisten-terror-radiosender-bremen-vier-cancelt-zwei-xavier-naidoo-konzerte/ 2017-05-07 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1179.txt https://www.compact-online.de/jobcenter-plant-lebenslange-optimierungsberatung/ 2017-05-06 |['Kristin von Appen'] | Innenpolitik |radically right| None
data/compact1180.txt https://www.compact-online.de/dass-ein-gutes-deutschland-bluehe-leseprobe-aus-der-neuen-compact-52017/ 2017-05-06 |['COMPACT-Shop'] | Innenpolitik |radically right| None
data/compact1181.txt https://www.compact-online.de/stichwahl-panik-macrons-bewegung-angeblich-von-boesen-russen-gehackt/ 2017-05-06 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1182.txt https://www.compact-online.de/die-flamme-der-freiheit-isabelle-kusari-gestern-bei-compact-live/ 2017-05-05 |['Kristin von Appen'] | Innenpolitik |radically right| None
data/compact1183.txt https://www.compact-online.de/mediale-hinrichtung-boehmermann-attackiert-naidoo-als-judenfeind/ 2017-05-05 |['Tino Perlick'] | Allgemein |radically right| None
data/compact1184.txt https://www.compact-online.de/jugend-durchschaut-luegenpresse-und-eu-propaganda/ 2017-05-05 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1185.txt https://www.compact-online.de/skandal-facebook-sperrt-elsaesser/ 2017-05-05 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1186.txt https://www.compact-online.de/twitter-poebel-laesst-karikaturen-ausstellung-in-europa-uni-platzen/ 2017-05-04 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1187.txt https://www.compact-online.de/compact-referent-von-le-pen-als-premier-nominiert/ 2017-05-04 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1188.txt https://www.compact-online.de/eine-buergerbewegung-mit-herz-und-hirn-das-spektrum-aufrechter-demokraten-macht-mut-zum-mitmachen/ 2017-05-04 |['Marc Dassen'] | Allgemein |radically right| None
data/compact1189.txt https://www.compact-online.de/deutsche-taeterjustiz-freispruch-im-fall-niklas/ 2017-05-03 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact1190.txt https://www.compact-online.de/die-dreckigen-tricks-des-saubermann-herrmann-csu/ 2017-05-03 |['Gast Autor'] | Allgemein |radically right| None
data/compact1191.txt https://www.compact-online.de/das-leid-mit-der-leitkultur-antideutsche-medienmeute-dreht-durch/ 2017-05-03 |['Marc Dassen'] | Innenpolitik |radically right| None
data/compact1192.txt https://www.compact-online.de/putin-stellt-westliche-heuchelei-bloss-merkel-schaut-zu/ 2017-05-03 |['Tino Perlick'] | Allgemein |radically right| None
data/compact1193.txt https://www.compact-online.de/vorlaeufiges-ende-einer-justizgroteske-ab-mittelrhein-prozess-geplatzt/ 2017-05-02 |['Gast Autor'] | Allgemein |radically right| None
data/compact1194.txt https://www.compact-online.de/compact-edition-krieg-und-frieden-donald-trumps-reden-erstmals-auf-deutsch-videovorstellung/ 2017-05-02 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact1195.txt https://www.compact-online.de/usa-sprechen-reisewarnung-fuer-europa-aus/ 2017-05-02 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact1196.txt https://www.compact-online.de/nazi-schlampe-weidel-afd-prueft-rechtliche-schritte-gegen-ard-moderator/ 2017-05-02 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact1197.txt https://www.compact-online.de/bargeld-aus-die-schockstrategie-der-eliten-leseprobe-aus-dem-neuen-compact-52017/ 2017-05-01 |['COMPACT-Shop'] | Internationale Politik |radically right| None
data/compact1198.txt https://www.compact-online.de/marine-le-pen-doch-kein-euro-ausstieg-oder-parallelwaehrung/ 2017-05-01 |['Valentina Schacht'] | Internationale Politik |radically right| None
data/compact1199.txt https://www.compact-online.de/wer-deutschlands-kulturerbe-verteidigt-wird-unterdrueckt-interview-mit-isabelle-kusari/ 2017-05-01 |['Inter Views'] | Allgemein |radically right| None
data/compact1200.txt https://www.compact-online.de/csu-will-afd-bayern-zerstoeren/ 2017-05-01 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1201.txt https://www.compact-online.de/thomas-de-maiziere-fordert-aufgeklaerten-patriotismus/ 2017-04-30 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1202.txt https://www.compact-online.de/der-osten-leuchtet-leseprobe-aus-dem-neuen-compact-52017/ 2017-04-30 |['COMPACT-Shop'] | Highlights |radically right| None
data/compact1203.txt https://www.compact-online.de/compact-tv-der-osten-leuchtet-diskussion-zu-compact-52017-video/ 2017-04-29 |['COMPACT-Shop'] | Highlights |radically right| None
data/compact1204.txt https://www.compact-online.de/facebook-gesteht-streuung-von-fake-news-mit-staatlicher-unterstuetzung/ 2017-04-29 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1205.txt https://www.compact-online.de/breaking-news-moslems-sozis-und-usa-putschen-in-mazedonien/ 2017-04-29 |['Jürgen Elsässer'] | Internationale Politik |radically right| None
data/compact1206.txt https://www.compact-online.de/gruene-marionetten-gegen-xavier-naidoo/ 2017-04-29 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1207.txt https://www.compact-online.de/asylsturm-auf-hartz-iv-400-000-neue-bezieher-in-einem-jahr/ 2017-04-28 |['Katja Wolters'] | Allgemein |radically right| None
data/compact1208.txt https://www.compact-online.de/keine-angst-haben-interview-mit-xavier-naidoo/ 2017-04-28 |['Inter Views'] | Highlights |radically right| None
data/compact1209.txt https://www.compact-online.de/chinas-praesident-an-putin-unsere-freundschaft-ist-staerker-denn-je/ 2017-04-28 |['Tino Perlick'] | Allgemein |radically right| None
data/compact1210.txt https://www.compact-online.de/neue-studie-wenn-assad-stuerzt-gewinnt-der-is/ 2017-04-28 |['Daniel McAdams'] | Internationale Politik |radically right| None
data/compact1211.txt https://www.compact-online.de/ein-bundeswehrsoldat-als-syrischer-terrorist-und-andere-travestien/ 2017-04-27 |['Jürgen Elsässer'] | Allgemein |radically right| None
data/compact1212.txt https://www.compact-online.de/volksverraeter-xavier-naidoo-ruft-zum-widerstand/ 2017-04-27 |['Tino Perlick'] | Allgemein |radically right| None
data/compact1213.txt https://www.compact-online.de/trumps-krieg-gegen-whistleblower/ 2017-04-27 |['Ron Paul'] | Internationale Politik |radically right| None
data/compact1214.txt https://www.compact-online.de/luegenpresse-wird-zur-heulpresse/ 2017-04-26 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1215.txt https://www.compact-online.de/compact-live-dahlewitz/ 2017-04-26 |['Terminankündigung'] | Highlights |radically right| None
data/compact1216.txt https://www.compact-online.de/oesterreichs-bundespraesident-alexander-van-der-bellen-kopftuch-fuer-alle-aus-solidaritaet/ 2017-04-26 |['Valentina Schacht'] | Internationale Politik |radically right| None
data/compact1217.txt https://www.compact-online.de/saudi-arabien-in-un-frauenrechts-kommission-gewaehlt/ 2017-04-25 |['Paula Varga'] | Allgemein |radically right| None
data/compact1218.txt https://www.compact-online.de/marine-le-pen-legte-ihr-amt-als-vorsitzende-des-front-national-nieder/ 2017-04-25 |['V. Berger'] | Internationale Politik |radically right| None
data/compact1219.txt https://www.compact-online.de/noch-eine-fluechtlingsskulptur-fuer-den-dresdner-neumarkt/ 2017-04-25 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1220.txt https://www.compact-online.de/afd-pretzell-will-in-nrw-realpolitischen-kurs-fahren/ 2017-04-24 |['Max Z. Kowalsky'] | Innenpolitik |radically right| None
data/compact1221.txt https://www.compact-online.de/suedkorea-plant-in-drei-jahren-das-muenzgeld-abzuschaffen/ 2017-04-24 |['Katja Wolters'] | Internationale Politik |radically right| None
data/compact1222.txt https://www.compact-online.de/erdogan-regime-will-geld-wir-brauchen-deutschland/ 2017-04-24 |['Max Z. Kowalsky'] | Innenpolitik |radically right| None
data/compact1223.txt https://www.compact-online.de/reaktion-auf-frankreich-wahl-deutsche-politiker-bilden-pro-macron-querfront/ 2017-04-24 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1224.txt https://www.compact-online.de/kommentar-zur-frankreichwahl/ 2017-04-23 |['Jürgen Elsässer'] | Internationale Politik |radically right| None
data/compact1225.txt https://www.compact-online.de/erstarrtes-fernsehen-nur-massenverweigerung-macht-proteste-stark/ 2017-04-23 |['Dr. Hartmut Grebe'] | Innenpolitik |radically right| None
data/compact1226.txt https://www.compact-online.de/wahl-in-frankreich-frexit-oder-nicht-frexit-das-ist-hier-die-heisse-frage/ 2017-04-23 |['Valentina Schacht'] | Internationale Politik |radically right| None
data/compact1227.txt https://www.compact-online.de/afd-parteitag-der-wiedergeburt-video/ 2017-04-22 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1228.txt https://www.compact-online.de/eilmeldungen-vom-afd-parteitag/ 2017-04-22 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1229.txt https://www.compact-online.de/maas-unterstuetzt-heutige-antifa-demos-in-koeln/ 2017-04-22 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1230.txt https://www.compact-online.de/plant-petry-schon-die-parteispaltung/ 2017-04-21 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1231.txt https://www.compact-online.de/wdr-reporterin-befasst-sich-mit-compact-und-ist-ueberrascht/ 2017-04-21 |['Paula Varga'] | Innenpolitik |radically right| None
data/compact1232.txt https://www.compact-online.de/wir-trauern-um-die-toten-von-multikulti-erfolgreiche-compact-veranstaltung-in-pirna/ 2017-04-21 |['COMPACT'] | Innenpolitik |radically right| None
data/compact1233.txt https://www.compact-online.de/bvb-anschlag-sind-russische-taeter-911-truther/ 2017-04-21 |['Katja Wolters'] | Innenpolitik |radically right| None
data/compact1234.txt https://www.compact-online.de/paris-is-attentat-auf-den-champs-elysees-ein-toter-und-verletzte-bezuege-zur-wahl/ 2017-04-21 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1235.txt https://www.compact-online.de/petry-rueckzieher-als-chance-fuer-die-afd/ 2017-04-20 |['Jürgen Elsässer'] | Innenpolitik |radically right| None
data/compact1236.txt https://www.compact-online.de/deutsche-intellektuelle-mal-wieder-um-frankreich-besorgt/ 2017-04-20 |['Valentina Schacht'] | Innenpolitik |radically right| None
data/compact1237.txt https://www.compact-online.de/oel-us-soldaten-kehren-nach-24-jahren-nach-somalia-zurueck/ 2017-04-20 |['Max Z. Kowalsky'] | Allgemein |radically right| None
data/compact1238.txt https://www.compact-online.de/ein-euro-job-programm-fuer-fluechtlinge-gekuerzt-geld-stattdessen-fuer-jobcenter-budget-verheizt/ 2017-04-20 |['Esmiralda Sturm'] | Allgemein |radically right| None
data/compact1239.txt https://www.compact-online.de/frauke-petry-verzichtet-auf-kanzlerkandidatur/ 2017-04-19 |['Tino Perlick'] | Innenpolitik |radically right| None
data/compact1240.txt https://www.compact-online.de/trump-hasardeur/ 2017-04-19 |['Dr. Hartmut Grebe'] | Internationale Politik |radically right| None
data/compact1241.txt https://www.compact-online.de/wegen-linksterror-koelner-geschaefte-bleiben-zum-afd-parteitag-geschlossen/ 2017-04-19 |['Katja Wolters'] | Allgemein |radically right| None
data/compact1242.txt https://www.compact-online.de/18-millionen-arbeitslose/ 2017-04-19 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact1243.txt https://www.compact-online.de/die-frankreich-wahl-und-die-beendigung-der-hypnose/ 2017-04-18 |['Gast Autor'] | Internationale Politik |radically right| None
data/compact1244.txt https://www.compact-online.de/ex-pentagon-chef-nordkorea-wuerde-niemals-zuerst-schiessen/ 2017-04-18 |['Tino Perlick'] | Internationale Politik |radically right| None
data/compact1245.txt https://www.compact-online.de/mittelmeerroute-rekordbrechende-anzahl-von-migranten-zum-osterwochende/ 2017-04-18 |['Max Z. Kowalsky'] | Internationale Politik |radically right| None
data/compact1246.txt https://www.compact-online.de/tschechien-verweigert-sich-der-eu-fluechtlingspolitik/ 2017-04-17 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1247.txt https://www.compact-online.de/italien-5-sterne-bewegung-erklaert-luegenpresse-den-krieg-und-steigt-in-umfragen/ 2017-04-17 |['Karel Meissner'] | Internationale Politik |radically right| None
data/compact1248.txt https://www.compact-online.de/kalifat-brd-63-waehlten-erdogans-diktatur/ 2017-04-17 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact1249.txt https://www.compact-online.de/ich-erdogan-bin-die-todesstrafe/ 2017-04-17 |['Kristin von Appen'] | Internationale Politik |radically right| None
data/compact1250.txt https://www.compact-online.de/referendum-55-prozent-ja-stimmen-erdogan-besteigt-wohl-den-thron/ 2017-04-16 |['COMPACT-Shop'] | Internationale Politik |radically right| None
data/compact1251.txt https://www.compact-online.de/compact-wuenscht-seinen-lesern-ein-frohes-osterfest/ 2017-04-16 |['COMPACT'] | Kultur |radically right| None
data/compact1252.txt https://www.compact-online.de/facebook-zensuropfer-imad-karim-erhaelt-viele-solidaritaetsbekundungen/ 2017-04-16 |['V. Berger'] | Innenpolitik |radically right| None
data/compact1253.txt https://www.compact-online.de/compact-tv-nie-wieder-gruene-diskussion-auf-der-leipziger-buchmesse-2017/ 2017-04-16 |['COMPACT-TV'] | Highlights |radically right| None
data/compact1254.txt https://www.compact-online.de/usa-fuehren-praxistest-mit-neuer-nuklearwaffe-aus/ 2017-04-16 |['Tino Perlick'] | Internationale Politik |radically right| None
data/compact1255.txt https://www.compact-online.de/bundespraesident-steinmeier-mischt-sich-in-franzoesische-wahlen-ein/ 2017-04-15 |['Valentina Schacht'] | Allgemein |radically right| None
data/compact1256.txt https://www.compact-online.de/alarm-us-krieg-gegen-nordkorea-droht/ 2017-04-15 |['Jürgen Elsässer'] | Internationale Politik |radically right| None
data/compact1257.txt https://www.compact-online.de/eu-du-hast-schulden-dann-wird-dein-wasser-privatisiert/ 2017-04-15 |['Kristin von Appen'] | Internationale Politik |radically right| None
data/compact1258.txt https://www.compact-online.de/unfassbar-luegenpresse-schiebt-bvb-anschlag-compact-und-elsaesser-unter/ 2017-04-14 |['Marc Dassen'] | Aktuell |radically right| None
data/compact1259.txt https://www.compact-online.de/2017-wo-bitte-gehts-nach-pjoengjang/ 2017-04-14 |['Max Z. Kowalsky'] | Internationale Politik |radically right| None
data/compact1260.txt https://www.compact-online.de/bvb-busanschlag-moderne-gladiatoren-muessen-da-durch/ 2017-04-14 |['Katja Wolters'] | Allgemein |radically right| None
data/compact1261.txt https://www.compact-online.de/syrien-kriegstrauma-und-mitleidsneurose/ 2017-04-14 |['Dr. Hartmut Grebe'] | Innenpolitik |radically right| None
data/compact1262.txt https://www.compact-online.de/krieg-gegen-nordkorea-pjoengjang-ohne-schutzmacht/ 2017-04-14 |['Max Z. Kowalsky'] | Internationale Politik |radically right| None
data/compact1263.txt https://www.compact-online.de/merkel-gesteht-fehler-in-fluechtlingspolitik-fordert-zugleich-mehr-ueberwachung/ 2017-04-13 |['Esmiralda Sturm'] | Allgemein |radically right| None
data/compact1264.txt https://www.compact-online.de/mit-professor-nimmt-offizielle-us-version-des-giftgasanschlags-auseinander/ 2017-04-13 |['Tino Perlick'] | Allgemein |radically right| None
data/compact1265.txt https://www.compact-online.de/afd-frauke-petrys-berater-tritt-zurueck-schuld-sei-pretzell/ 2017-04-13 |['Karel Meissner'] | Innenpolitik |radically right| None
data/compact1266.txt https://www.compact-online.de/die-neue-compact-edition-jetzt-vorbestellen/ 2017-04-13 |['COMPACT-Shop'] | Allgemein |radically right| None
data/compact1267.txt https://www.compact-online.de/bvb-attentat-es-war-ein-is-konvertit-mit-linkem-hintergrund/ 2017-04-12 |['Jürgen Elsässer'] | Allgemein |radically right| None
data/compact1268.txt https://www.compact-online.de/tuerkei-faellt-russland-in-den-ruecken-putin-neue-false-flag-geplant/ 2017-04-12 |['Tino Perlick'] | Internationale Politik |radically right| None
data/compact1269.txt https://www.compact-online.de/wegen-afd-parteitag-todesdrohung-gegen-hotelpersonal/ 2017-04-12 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1270.txt https://www.compact-online.de/beliebteste-jungennamen-mohammed-auf-dem-vormarsch/ 2017-04-12 |['Max Z. Kowalsky'] | Kultur |radically right| None
data/compact1271.txt https://www.compact-online.de/bekennerschreiben-zum-bvb-anschlag-sportler-stehen-auf-is-todesliste/ 2017-04-12 |['Katja Wolters'] | Allgemein |radically right| None
data/compact1272.txt https://www.compact-online.de/__trashed-4/ 2017-04-12 |['Esmiralda Sturm'] | Innenpolitik |radically right| None
data/compact1273.txt https://www.compact-online.de/compact-tv-gibt-es-eine-loesung-fuer-die-asylkrise/ 2017-04-11 |['COMPACT-TV'] | Allgemein |radically right| None
data/compact1274.txt https://www.compact-online.de/pjoengjang-droht-usa-mit-nuklearangriff/ 2017-04-11 |['Esmiralda Sturm'] | Internationale Politik |radically right| None
data/compact1275.txt https://www.compact-online.de/super-ungarn-george-soros-propaganda-universitaet-droht-das-aus/ 2017-04-11 |['Max Z. Kowalsky'] | Internationale Politik |radically right| None
